"GeneID"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"silver_rep1"	"silver_rep2"	"silver_rep3"	"silver_rep4"	"silver_rep5"	"silver_rep6"	"yellow_rep1"	"yellow_rep2"	"yellow_rep3"	"yellow_rep4"	"yellow_rep5"	"yellow_rep6"
"1"	"TRINITY_DN0_c0_g1"	-0.54640209818972	7.27732415330766	-4.40834347536028	0.000653047057931651	0.0055997404568468	-1.08139796737443	6861	6563.66	5170.09	6797	6089.59	6081.01	5431.87	2569	3088	3603	4274	5017
"2"	"TRINITY_DN1_c0_g1"	-0.404523411619848	7.59756067017924	-3.09312146382993	0.00826730170546132	0.0313082561201101	-3.68949644497002	6982	7785	7545	6858	7682	6667	6867	3156	3634	5515	5952	7038
"3"	"TRINITY_DN100_c1_g1"	-0.701347959763948	5.52522090493169	-5.40670293371063	0.00010638144971348	0.0019423338846167	1.02828177323693	2178	2172	2083	2007	2179	1993	1522	656	600	992	1125	1503
"4"	"TRINITY_DN10000_c0_g1"	-1.25356574202425	0.448531624801278	-4.27563211458819	0.000838748484525995	0.00660875961083414	-0.435990130532149	101	76	56	106	74	109	30	11	15	16	33	44
"5"	"TRINITY_DN10002_c0_g1"	-0.316893733002153	5.20994250570037	-2.92055417834093	0.0115750804330806	0.0396433312470248	-3.66641739009747	1682	1287	1594	1474	1518	1481	1161	564	807	1077	1021	1082
"6"	"TRINITY_DN10006_c0_g1"	-0.641900324681106	5.76787398806246	-5.37051181786971	0.000113355932041256	0.00200330061380317	0.927682878081661	2784	2451	2144	2234	2425	2475	1295	973	811	1194	1569	1840
"7"	"TRINITY_DN100070_c0_g1"	-1.17995276473799	0.110692555180849	-3.74566999635332	0.00231639017616488	0.0130395406047921	-1.37742796638908	63	75	72	45	66	78	45	7	9	15	19	32
"8"	"TRINITY_DN10008_c0_g1"	-0.369147046925659	7.17749772098708	-4.82275957024803	0.000302799627036344	0.00349952004746334	-0.280803363734541	5653	5735	5889	5172	5928	4858	4753	3163	3154	3524	4159	4698
"9"	"TRINITY_DN10008_c2_g1"	-1.41414010573156	2.0013172414211	-4.59553497615908	0.000460338687236845	0.00449369613693572	0.0143520320060384	295	285	321	227	302	178	102	29	21	83	68	168
"10"	"TRINITY_DN100119_c0_g1"	-1.44434493216809	-1.10724475644985	-5.4052874793746	0.000106645625422787	0.0019423338846167	1.48436180191538	38	32	29	32	35	19	6	3	4	8	8	12
"11"	"TRINITY_DN10016_c0_g1"	0.699120079705466	3.19519262046602	4.46066391064369	0.000592002162886294	0.00525689495872238	-0.393075209695826	339	244	345	280	288	219	328	322	319	297	324	281
"12"	"TRINITY_DN10017_c0_g1"	-0.980488152818493	-0.0920073527643448	-3.70811144271317	0.00249133474231868	0.0136741684279475	-1.43159784540605	56	56	53	41	49	62	15	12	10	12	30	32
"13"	"TRINITY_DN10019_c0_g1"	-0.381184058670689	7.75433049711423	-2.9681533648587	0.0105501523943959	0.0371039231238852	-3.95234075923737	8697.99	8206.97	6304	9525.98	7616.96	7669	7830.97	4067	5294	5379.98	6396	6987
"14"	"TRINITY_DN1002_c0_g1"	-1.24430170894548	3.73637822746549	-3.70807735244026	0.00249149948365104	0.0136741684279475	-1.89223587800588	1103	865	1038	828	503	530	753	156	219	115	194	236
"15"	"TRINITY_DN1002_c0_g2"	-1.01874846164862	4.49056050465616	-5.12207979238804	0.000176132108369813	0.00257464101401752	0.666460145505808	1490.88	1239.92	1216.93	1179.19	1080.38	997.64	602.27	198.81	217.16	396.34	614.76	804.02
"16"	"TRINITY_DN10020_c2_g1"	-0.8986601648004	1.01554223316747	-3.07720399300674	0.00852831176500176	0.0319462170213591	-2.72502981442748	186.62	99.8	114.53	68.62	97.22	125.35	75.57	33.45	24.48	38.6	23.46	52.42
"17"	"TRINITY_DN10021_c0_g1"	-0.932953239040706	1.92794000448218	-3.38206979325256	0.00470073304308294	0.0212252553644464	-2.26639621253343	255	316	203	170	236	129	122	37	47	45	83	155
"18"	"TRINITY_DN10022_c0_g2"	-0.974681115517135	0.0997767678359315	-3.36778179218875	0.00483375369119499	0.0216630947538956	-2.07714182321962	68	42	79	68	51	60	19	9	11	18	29	46
"19"	"TRINITY_DN10025_c0_g1"	-1.07623359472656	0.675082188731052	-3.46375847707191	0.00400791532424296	0.0189514468851226	-1.96080382667809	84	112	131	92	122	44	26	14	14	46	48	41
"20"	"TRINITY_DN10026_c0_g1"	0.424212960086997	4.4158739148809	3.29033067920692	0.00562344569149288	0.023980168629939	-2.83008371150802	803	646	697	664	755	637	617	780	720	640	706	713
"21"	"TRINITY_DN10027_c0_g1"	0.411327041670503	4.87845896681858	3.3004841041294	0.00551296707584617	0.0236581461063326	-2.88738356584179	1163	910	934	923	1059	749	967	921	1127	969	949	905
"22"	"TRINITY_DN10028_c0_g1"	1.16425396633043	2.8101393496271	2.86625592710276	0.0128645134528861	0.0426673687014	-3.3747936789555	193	220	98	297	189	159	284	887	287	164	191	247
"23"	"TRINITY_DN10029_c1_g1"	1.00634535257443	2.31124942904741	3.07466880514051	0.00857063239496904	0.0320381692764471	-2.90983119810195	182.76	247	92.53	185	141	60.99	226	132.1	331	122	159.52	211.39
"24"	"TRINITY_DN1003_c0_g2"	-2.8111820173196	-1.28725863570587	-6.61334811856126	1.42058171022708e-05	0.000679846825246872	3.0948681995067	49	51	43	33	47	39	6	5	0	2	6	7
"25"	"TRINITY_DN10032_c0_g1"	-0.824124593943476	1.53372566996975	-3.15129763895124	0.00737916883174957	0.028986911753484	-2.65274798570928	182	168	172	113	191	119	87	24	26	73	86	86
"26"	"TRINITY_DN100321_c0_g1"	0.795181979861004	3.65955461176797	4.21488039283962	0.000941133830652059	0.00708163550928727	-0.923804723906277	367	378	312	409	392	403	455	511	482	505	464	336
"27"	"TRINITY_DN100332_c0_g1"	2.26897807663182	-0.90951864912384	3.08293529008475	0.00843340132086361	0.031718856225578	-2.4806510467235	24	9	32	10	2	6	27	83	67	12	28	16
"28"	"TRINITY_DN10037_c0_g1"	1.51066908261527	2.04409908316559	5.18194044283542	0.000158267287895628	0.00242345384159955	1.05782728130671	83	90	124	79	88	126	218	199	273	94	157	212
"29"	"TRINITY_DN10039_c0_g1"	-0.533349102126872	5.09817109646146	-2.9525670730578	0.0108754852351039	0.0379111376690393	-3.58312995516438	1476	1622	1510	1415	1476	1588	1213	357	501	707	1002	1351
"30"	"TRINITY_DN10041_c0_g1"	1.62849189316169	1.32225054634479	4.92069243356081	0.000253284746915611	0.00317402584696179	0.653979695520385	35	78	41	78	46	75	89	188	105	125	117	90
"31"	"TRINITY_DN10042_c0_g1"	-0.253809123971136	7.86848260354076	-3.84445176491459	0.00191353158310687	0.0114364264647391	-2.26069707161907	7501	8422	7872	8128	9046	7882	7903	5950	6290	6646	7187	6860
"32"	"TRINITY_DN10050_c0_g4"	-1.01337523768406	2.03792956050073	-5.36723680490154	0.00011401020201455	0.00201048316563375	1.3863605419852	236.73	242.94	255.93	219.39	202.17	249.07	122.25	42.49	42.49	69.67	95.35	112.38
"33"	"TRINITY_DN10056_c0_g1"	-0.721391452140049	3.64159189183227	-3.54848827556161	0.0033977347785395	0.0169193217248728	-2.19516539371025	746.15	510.4	562.35	667.5	796.57	513.22	367.26	151.13	122.97	247.54	327.53	466.31
"34"	"TRINITY_DN10062_c0_g1"	-1.45326003387608	2.97227699621203	-6.68639612890842	1.26569508822911e-05	0.000651873151234444	3.50557189443032	652	512	560	509.01	439	422	169	80	48	128	171	232
"35"	"TRINITY_DN10062_c0_g2"	-1.36098772853346	2.18488625544035	-7.67999585593283	2.8230405341076e-06	0.000379627660013976	5.01224005525486	333	285	299	297.99	251	283	93	61	35	66	103	111
"36"	"TRINITY_DN10064_c0_g1"	0.742744508868987	1.2493193605265	3.12599302263753	0.00775316096988918	0.0299912749153546	-2.67226312346768	83.15	114.96	83	72.29	79	30.06	80	71.37	84.35	74.2	78.1	92.3
"37"	"TRINITY_DN100759_c0_g1"	1.2712474813423	-0.840224541704271	3.6982565492668	0.00253942219138789	0.0138589450007415	-1.39694886604662	17	15	11	19	14	11	19	28	23	39	14	18
"38"	"TRINITY_DN10079_c1_g2"	-0.81411246890354	0.575521465537565	-3.0515378051018	0.00896652655784081	0.0330800100423767	-2.71983173262059	66	90	105.12	79.64	80	61	25	18	15	24	53	61
"39"	"TRINITY_DN10084_c0_g1"	-1.16653710994997	2.74118680834115	-5.30414037549592	0.000127415541540653	0.00213680993577928	1.21345205916992	421	300	312	524	407	469	134	75	65	121	185	157
"40"	"TRINITY_DN10091_c0_g1"	1.12654628526587	3.17587518198534	4.05202047208612	0.00128383012871362	0.00875135213999385	-1.16316286982972	422	393	133	237.05	133	280	443.99	379	263.63	303	382	398
"41"	"TRINITY_DN10091_c0_g2"	3.08061707312818	-1.10029137936377	5.09693731814428	0.000184250656121672	0.0026359783240177	0.986195285948984	12.63	8.01	3.03	5.99	5.99	6.82	32.46	17	23	108	74.95	17
"42"	"TRINITY_DN10093_c0_g2"	-1.34417441798464	-0.740328291238997	-3.19140969580504	0.00682283798942307	0.0274291443740317	-2.30539667640413	49	27	42	46	46	22	19	13	16	6	3	9
"43"	"TRINITY_DN10095_c0_g1"	-0.638118170043683	0.456338003552995	-3.40470404324011	0.00449750137956707	0.0205275604533426	-2.05306971531572	83	66	67	64	72	58	40	18	17	33	32	36
"44"	"TRINITY_DN10096_c0_g1"	-0.642641673550624	3.40204069279064	-4.22025036469987	0.000931587298913384	0.00704761321703021	-0.8698351809894	592	430.45	532	516.71	603	452.63	296.42	141.87	123.12	270.41	275.79	290.06
"45"	"TRINITY_DN10096_c0_g2"	-0.712842095502748	3.44504974895783	-3.45804840060673	0.00405281087868269	0.0191042938155894	-2.33957705146372	523	505	499	507	633	620	187	188	121	182	340	441
"46"	"TRINITY_DN10097_c0_g1"	-1.22344624441511	0.988769446381055	-4.66400105694264	0.000405484461122394	0.00416109515451485	0.224655815585887	104	108	117	146	101	167	52	15	24	28	49	50
